TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_REL,CONTROLLER_1_EULER_REL,CONTROLLER_2_POS_REL,CONTROLLER_2_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB,NARRATIVE_EVENTS,SELECTABLE_ITEMS_SELECTED,NIGEL_LOOK_AT,NIGEL_LOOK_AWAY,BACKPACK_LOOK_AT,BACKPACK_LOOK_AWAY
2017-04-21-12-08-56-231000,"[-0.0752418041229248, 1.1348297595977783, -0.15545135736465454]","[87.76773834228516, -15.884737014770508, 2.205284595489502]","[0.2769273519515991, 0.6322822570800781, 0.17058837413787842]","[71.57988739013672, -35.33887481689453, -8.495038032531738]","[0.2950453758239746, 0.628423810005188, -0.49431920051574707]","[85.35112762451172, -24.84459686279297, 9.920777320861816]","[-0.17058837413787842, 0.6322822570800781, 0.2769273519515991]","[-18.420114517211914, -35.33887481689453, -8.495038032531738]","[0.49431920051574707, 0.628423810005188, 0.2950453758239746]","[-4.648870468139648, -24.84459686279297, 9.920777320861816]",gender_visible_on,,,,,
2017-04-21-12-08-56-253000,"[-0.0752418041229248, 1.1348297595977783, -0.15545135736465454]","[87.76773834228516, -15.884737014770508, 2.205284595489502]","[0.2769273519515991, 0.6322822570800781, 0.17058837413787842]","[71.57988739013672, -35.33887481689453, -8.495038032531738]","[0.2950453758239746, 0.628423810005188, -0.49431920051574707]","[85.35112762451172, -24.84459686279297, 9.920777320861816]","[-0.17058837413787842, 0.6322822570800781, 0.2769273519515991]","[-18.420114517211914, -35.33887481689453, -8.495038032531738]","[0.49431920051574707, 0.628423810005188, 0.2950453758239746]","[-4.648870468139648, -24.84459686279297, 9.920777320861816]",,,,,,
2017-04-21-12-08-56-497000,"[-0.07409131526947021, 1.1346098184585571, -0.1549803614616394]","[87.41218566894531, -15.765585899353027, 2.2131989002227783]","[0.27695202827453613, 0.6319491863250732, 0.17036235332489014]","[71.65577697753906, -35.27290344238281, -8.573619842529297]","[0.29657959938049316, 0.6284346580505371, -0.4949331283569336]","[86.3368148803711, -24.8085994720459, 10.72410774230957]","[-0.17036235332489014, 0.6319491863250732, 0.27695202827453613]","[-18.344223022460938, -35.27290344238281, -8.573619842529297]","[0.4949331283569336, 0.6284346580505371, 0.29657959938049316]","[-3.663182020187378, -24.8085994720459, 10.72410774230957]",,,,,,
2017-04-21-12-08-56-744000,"[-0.07180309295654297, 1.1337614059448242, -0.15025007724761963]","[83.7945556640625, -15.192375183105469, 2.6092770099639893]","[0.2774643898010254, 0.6319371461868286, 0.16985654830932617]","[71.89302825927734, -35.20356369018555, -8.850768089294434]","[0.29757368564605713, 0.6297508478164673, -0.5044543743133545]","[90.7509765625, -25.722501754760742, 9.596793174743652]","[-0.16985654830932617, 0.6319371461868286, 0.2774643898010254]","[-18.106971740722656, -35.20356369018555, -8.850768089294434]","[0.5044543743133545, 0.6297508478164673, 0.29757368564605713]","[0.7509792447090149, -25.722501754760742, 9.596793174743652]",,,,,,
2017-04-21-12-08-56-990000,"[-0.0730818510055542, 1.13619065284729, -0.14900672435760498]","[82.59524536132812, -16.77754020690918, 2.6185190677642822]","[0.2773643732070923, 0.6319092512130737, 0.1698368787765503]","[71.9374771118164, -35.24892044067383, -8.870540618896484]","[0.2970691919326782, 0.6306791305541992, -0.503980815410614]","[90.35580444335938, -26.09914207458496, 9.281425476074219]","[-0.1698368787765503, 0.6319092512130737, 0.2773643732070923]","[-18.06252670288086, -35.24892044067383, -8.870540618896484]","[0.503980815410614, 0.6306791305541992, 0.2970691919326782]","[0.35580411553382874, -26.09914207458496, 9.281425476074219]",,,,,,
2017-04-21-12-08-57-236000,"[-0.07447183132171631, 1.1368839740753174, -0.1509529948234558]","[83.3104248046875, -17.173532485961914, 2.328404426574707]","[0.27677714824676514, 0.6316450834274292, 0.16979122161865234]","[71.9107666015625, -35.26426315307617, -8.898236274719238]","[0.2961122989654541, 0.6309653520584106, -0.5035057067871094]","[90.02608489990234, -26.288206100463867, 9.036178588867188]","[-0.16979122161865234, 0.6316450834274292, 0.27677714824676514]","[-18.089235305786133, -35.26426315307617, -8.898236274719238]","[0.5035057067871094, 0.6309653520584106, 0.2961122989654541]","[0.02608462981879711, -26.288206100463867, 9.036178588867188]",,,,,,
2017-04-21-12-08-57-521000,"[-0.0713115930557251, 1.1341798305511475, -0.15120983123779297]","[83.8427734375, -15.442980766296387, 2.48286509513855]","[0.2773916721343994, 0.6317777633666992, 0.16974282264709473]","[71.97515106201172, -35.233402252197266, -8.960152626037598]","[0.28776097297668457, 0.6296886205673218, -0.47546589374542236]","[77.51121520996094, -26.366628646850586, 15.20409870147705]","[-0.16974282264709473, 0.6317777633666992, 0.2773916721343994]","[-18.024850845336914, -35.233402252197266, -8.960152626037598]","[0.47546589374542236, 0.6296886205673218, 0.28776097297668457]","[-12.48878288269043, -26.366628646850586, 15.20409870147705]",,,,,,
2017-04-21-12-08-57-767000,"[-0.06742465496063232, 1.1314904689788818, -0.15177536010742188]","[84.05660247802734, -13.64372730255127, 2.5375759601593018]","[0.27786195278167725, 0.6318962574005127, 0.16947269439697266]","[71.96440124511719, -35.246089935302734, -9.03416919708252]","[0.2891021966934204, 0.6237531900405884, -0.4690997004508972]","[73.16593933105469, -23.077001571655273, 14.556675910949707]","[-0.16947269439697266, 0.6318962574005127, 0.27786195278167725]","[-18.035600662231445, -35.246089935302734, -9.03416919708252]","[0.4690997004508972, 0.6237531900405884, 0.2891021966934204]","[-16.834056854248047, -23.077001571655273, 14.556675910949707]",,,,,,
2017-04-21-12-08-58-016000,"[-0.06437408924102783, 1.128544807434082, -0.15163511037826538]","[83.52225494384766, -11.74409294128418, 2.4168100357055664]","[0.27765941619873047, 0.6319655179977417, 0.17022764682769775]","[71.7569808959961, -35.20275115966797, -8.832892417907715]","[0.2804800271987915, 0.6253854036331177, -0.45640677213668823]","[66.86604309082031, -23.604721069335938, 15.60196590423584]","[-0.17022764682769775, 0.6319655179977417, 0.27765941619873047]","[-18.24302101135254, -35.20275115966797, -8.832892417907715]","[0.45640677213668823, 0.6253854036331177, 0.2804800271987915]","[-23.133955001831055, -23.604721069335938, 15.60196590423584]",,,,,,
2017-04-21-12-08-58-262000,"[-0.05914425849914551, 1.122384786605835, -0.14832359552383423]","[81.43665313720703, -7.624876022338867, 2.6056816577911377]","[0.27781248092651367, 0.631733775138855, 0.1700190305709839]","[71.91580963134766, -35.039703369140625, -8.989465713500977]","[0.2742156982421875, 0.6330806016921997, -0.448067307472229]","[66.40201568603516, -25.626989364624023, 12.494498252868652]","[-0.1700190305709839, 0.631733775138855, 0.27781248092651367]","[-18.08419418334961, -35.039703369140625, -8.989465713500977]","[0.448067307472229, 0.6330806016921997, 0.2742156982421875]","[-23.597984313964844, -25.626989364624023, 12.494498252868652]",,,,,,
